Beitrittsdatum,Name,Abgeschlossen
"08.12.2020, 20:54:04",December Walk Challenge,false
"08.12.2020, 20:54:08",December Cycling Climbing Challenge,false
"08.12.2020, 20:54:41",December 5K,true
"08.12.2020, 20:54:43",December Half Marathon,false
"08.12.2020, 20:54:46",December Running Distance Challenge,false
"08.12.2020, 20:55:00",Continental BlackChili Challenge,true
"14.12.2020, 13:10:40",December 4x4 Challenge,true
"14.12.2020, 13:10:41",December Cycling Distance Challenge,false
"14.12.2020, 13:10:45",December Cycling Challenge,false
"14.12.2020, 13:10:45",December Gran Fondo,false
"14.12.2020, 13:10:47",December Run Climbing Challenge,false
"14.12.2020, 13:10:48",December Cycling Endurance Challenge,false
"19.12.2020, 09:40:16",The INOV-8 'Run For The Hills' Ultra,true
"19.12.2020, 09:42:51",Alzheimer's Society - Run for Dementia,true
"19.12.2020, 09:42:52",Yule Ridings by Muc-Off,false
"20.12.2020, 09:58:14",STRIVEfor5 by Sportsshoes X New Balance,true
"22.12.2020, 19:24:13",Pas Normal Studios Winter Resolution,false
"24.12.2020, 12:08:49",Move Past 2020 Challenge,false
"24.12.2020, 23:05:32",St. Jude Resolutions Challenge,true
"24.12.2020, 23:05:36",ROKA Why Not Now? Challenge,true
"24.12.2020, 23:05:37",Start Your Year with ROUVY,true
"26.12.2020, 14:03:29",Red Bull January Jump-Start,true
"26.12.2020, 14:04:21",New Balance Race to the Finish Challenge,true
"30.12.2020, 12:47:39",January 10K,true
"30.12.2020, 12:47:42",January 5K,true
"30.12.2020, 12:47:44",January Running Challenge,true
"30.12.2020, 21:59:57",Strava Japan Club 2021 New Year Challenge,false
"30.12.2020, 22:00:10",Strava Japan Club 2021 New Year Challenge,true
"01.01.2021, 10:57:47",Lucozade Sport - Keep On Moving,true
"01.01.2021, 10:57:51",Runderwear 10k in 10 Days,true
"02.01.2021, 18:31:38",SKINS Compression 110 Challenge,false
"03.01.2021, 20:20:55",January Cycling Challenge,false
"05.01.2021, 19:35:26",Le Col Project 21 Challenge,true
"05.01.2021, 22:04:50",Starcasino Team - Womens Rider Talent Search,false
"05.01.2021, 22:04:52",TRIBE Plant Power 60,true
"05.01.2021, 22:04:55","Wiggle X Garmin New Year, New PBs!",false
"05.01.2021, 22:04:58",Red Bull Winter Sprinter,true
"05.01.2021, 22:04:59",Move with KIND 280,true
"05.01.2021, 22:05:08","Buttes-Chaumont, Paris • Segments Series",false
"05.01.2021, 22:05:09","La Citadelle, Lille • Segments Series",false
"10.01.2021, 16:13:56",PREPD Summer of Unparalleled Hydration Challenge,true
"10.01.2021, 16:13:57",FuturumShop Winter Challenge,true
"11.01.2021, 07:35:15",Santos Tour Down Under 200,false
