Deine Aktivitäten in Metro und Heatmap anzeigen,"Wer sehen kann, dass du dich an einer Gruppenaktivität beteiligt hast",Wer deine Aktivität in Flybys sehen kann,Wer kann dein Trainingstagebuch anzeigen?,Profil-Sichtbarkeit,Standardsichtbarkeit für Aktivitäten
Wahr,Alle,Niemand,Nur ich,Nur Abonnenten,Alle
