Reaktionsdatum,Reaktionstyp,Übergeordneter Typ,Übergeordnete ID
"08.09.2019, 11:48:21",Kudos,Aktivität,2684198719
"17.09.2019, 08:54:36",Kudos,Aktivität,2713944194
"26.09.2019, 12:40:47",Kudos,Aktivität,2740688373
"27.09.2019, 09:27:47",Kudos,Aktivität,2743173617
"28.09.2019, 12:38:00",Kudos,Aktivität,2745979456
"29.09.2019, 14:20:46",Kudos,Aktivität,2749049226
"02.10.2019, 06:49:14",Kudos,Aktivität,2754106665
"05.10.2019, 17:14:37",Kudos,Aktivität,2759276350
"07.10.2019, 12:18:10",Kudos,Aktivität,2767274786
"07.10.2019, 12:18:30",Kudos,Aktivität,2768363469
"07.10.2019, 12:18:37",Kudos,Aktivität,2768493538
"07.10.2019, 14:12:56",Kudos,Aktivität,2769970814
"10.10.2019, 13:28:31",Kudos,Aktivität,2777487617
"12.10.2019, 07:45:45",Kudos,Aktivität,2780189066
"12.10.2019, 07:45:55",Kudos,Aktivität,2778109513
"13.10.2019, 15:36:28",Kudos,Aktivität,2785350263
"13.10.2019, 15:36:47",Kudos,Aktivität,2785601779
"16.10.2019, 09:59:24",Kudos,Aktivität,2791786257
"18.10.2019, 14:16:56",Kudos,Aktivität,2797797764
"20.10.2019, 13:51:21",Kudos,Aktivität,2800832747
"20.10.2019, 13:51:28",Kudos,Aktivität,2803244233
"20.10.2019, 13:51:47",Kudos,Aktivität,2800439750
"20.10.2019, 13:52:18",Kudos,Aktivität,2802927475
"23.10.2019, 20:01:39",Kudos,Aktivität,2811214643
"23.10.2019, 20:01:42",Kudos,Aktivität,2811214680
"25.10.2019, 22:38:48",Kudos,Aktivität,2815653202
"28.10.2019, 19:45:57",Kudos,Aktivität,2824028857
"02.11.2019, 21:55:18",Kudos,Aktivität,2835876227
"04.11.2019, 10:17:49",Kudos,Aktivität,2839637325
"05.11.2019, 16:16:07",Kudos,Aktivität,2842555518
"11.11.2019, 13:57:54",Kudos,Aktivität,2856463877
"11.11.2019, 13:58:35",Kudos,Aktivität,2854234535
"11.11.2019, 13:59:14",Kudos,Aktivität,2852596340
"11.11.2019, 13:59:16",Kudos,Aktivität,2852575161
"11.11.2019, 14:01:25",Kudos,Aktivität,2847189513
"14.11.2019, 19:03:42",Kudos,Aktivität,2863984622
